مگر اینکه ... | Unless ...
نور چشمی | Teacher's pet / Favorite
-- Pronunciation: /ˈtiːtʃərz pɛt/
-- Tone: Idiom
-- Example: 1. Nobody likes him because he's the teacher's pet. 2. She was always the favorite child. 3. The boss plays favorites.

هول شدن | Get flustered
-- Pronunciation: /ɡɛt ˈflʌstərd/
-- Tone: Neutral
-- Example: 1. I got flustered during the interview and forgot my name. 2. Don't get flustered by his questions. 3. She was visibly flustered.

یک دنده | Stubborn / Headstrong
-- Pronunciation: /ˈhɛdˌstrɔŋ/
-- Tone: Negative
-- Example: 1. She is too headstrong to listen to advice. 2. A stubborn stain. 3. He's as stubborn as a mule.

آب زیر کاه | Sneaky / Underhanded
-- Pronunciation: /ˈsniːki/
-- Tone: Negative
-- Example: 1. It was a sneaky trick to get my password. 2. An underhanded business deal. 3. I don't trust him; he looks sneaky.

پاچه خواری | Brown-nosing / Suck up
-- Pronunciation: /braʊn ˈnoʊzɪŋ/
-- Tone: Slang/Vulgar
-- Example: 1. He got the promotion by brown-nosing the boss. 2. Stop sucking up to the teacher. 3. I hate brown-nosing.

خالی بندی | Tall tale / Fabrication
-- Pronunciation: /tɔl teɪl/
-- Tone: Idiom
-- Example: 1. That fish story sounds like a tall tale. 2. Don't believe his fabrications. 3. He's famous for telling tall tales.

حوصله نداشتن | Not in the mood
-- Pronunciation: /nɑt ɪn ðə muːd/
-- Tone: Neutral
-- Example: 1. I'm not in the mood for a movie tonight. 2. She was not in the mood to talk. 3. Leave me alone; I'm not in the mood.

حال کسی را گرفتن | Rain on someone's parade
-- Pronunciation: /reɪn ɑn pəˈreɪd/
-- Tone: Idiom
-- Example: 1. I hate to rain on your parade, but we can't afford it. 2. Don't let him rain on your parade. 3. The bad news really rained on our parade.

دست به سر کردن | Brush off
-- Pronunciation: /brʌʃ ɔf/
-- Tone: Phrasal Verb
-- Example: 1. He brushed off my concerns as unimportant. 2. She brushed me off when I asked for a date. 3. Don't just brush it off.

رو کم کنی | One-upmanship
-- Pronunciation: /wʌn ˈʌpmənˌʃɪp/
-- Tone: Formal
-- Example: 1. Their relationship is full of constant one-upmanship. 2. I'm tired of his games of one-upmanship. 3. Corporate one-upmanship.

شیر تو شیر | Chaos / Haywire
-- Pronunciation: /ˈheɪˌwaɪər/
-- Tone: Informal
-- Example: 1. Everything went haywire after the power outage. 2. The classroom was in chaos. 3. The plan went haywire.

قسر در رفتن | Get off scot-free
-- Pronunciation: /skɑt friː/
-- Tone: Idiom
-- Example: 1. The burglar got off scot-free because of a lack of evidence. 2. You won't get off scot-free this time. 3. He cheated and got off scot-free.

ماست مالی کردن | Cover up / Gloss over
-- Pronunciation: /ɡlɔs ˈoʊvər/
-- Tone: Idiom
-- Example: 1. The report glossed over the company's financial problems. 2. Don't try to cover up your mistakes. 3. The government tried to cover up the scandal.


از آنجایی که ... | Inasmuch as ...
-- Pronunciation: /ɪnəzˈmʌtʃ æz/
-- Tone: Formal
-- Example: 1. Inasmuch as you are their leader, you are responsible. 2. The contract is binding inasmuch as both parties signed it. 3. Inasmuch as the funds are available, we should proceed.

به موجب این ... | Hereby
-- Pronunciation: /hɪrˈbaɪ/
-- Tone: Legal/Formal
-- Example: 1. I hereby resign from my position. 2. You are hereby notified of the changes. 3. Specifically, I hereby grant you permission.

از این به بعد | Henceforth
-- Pronunciation: /hɛnsˈfɔrθ/
-- Tone: Formal
-- Example: 1. Henceforth, all meetings will be recorded. 2. She will henceforth be known as the Director. 3. Henceforth, no smoking is allowed.

با وجود این | Notwithstanding
-- Pronunciation: /ˌnɑtwɪθˈstændɪŋ/
-- Tone: Formal
-- Example: 1. Notwithstanding the criticism, the project proceeded. 2. She is very active, her age notwithstanding. 3. Notwithstanding the delay, we finished on time.

به ضررِ ... | At the expense of ...
-- Pronunciation: /æt ðə ɪkˈspɛns əv/
-- Tone: Neutral
-- Example: 1. He focused on his career at the expense of his family life. 2. We cannot increase speed at the expense of safety. 3. He made a joke at the expense of his friend.

در نهایتِ ... | In the event of ...
-- Pronunciation: /ɪn ðə ɪˈvɛnt əv/
-- Tone: Formal
-- Example: 1. In the event of fire, use the stairs. 2. In the event of a tie, a coin toss will decide. 3. The bold text applies in the event of cancellation.

به شرط آنکه ... | Provided that ...
-- Pronunciation: /prəˈvaɪdɪd ðæt/
-- Tone: Formal
-- Example: 1. You can go out provided that you finish your homework. 2. I will agree provided that you pay in advance. 3. The loan will be granted provided that you have collateral.

لزوماً | Necessarily
-- Pronunciation: /ˌnɛsəˈsɛrəli/
-- Tone: Neutral
-- Example: 1. That is not necessarily true. 2. Bigger doesn't necessarily mean better. 3. I don't necessarily agree with you.

متعاقباً | Subsequently
-- Pronunciation: /ˈsʌbsɪkwəntli/
-- Tone: Formal
-- Example: 1. The book was subsequently translated into 15 languages. 2. He was arrested and subsequently charged with theft. 3. The error was subsequently corrected.

همزمان | Simultaneously
-- Pronunciation: /ˌsaɪməlˈteɪniəsli/
-- Tone: Neutral
-- Example: 1. The two events happened simultaneously. 2. Press both buttons simultaneously. 3. He can translate and listen simultaneously.

در تضاد با ... | In stark contrast to ...
-- Pronunciation: /ɪn stɑrk ˈkɑntræst tu/
-- Tone: Formal
-- Example: 1. His wealth stands in stark contrast to the poverty around him. 2. This result is in stark contrast to previous findings. 3. The bright colors were in stark contrast to the grey sky.

تا حدی که ... | To the extent that ...
-- Pronunciation: /tu ðə ɪkˈstɛnt ðæt/
-- Tone: Formal
-- Example: 1. He was helpful to the extent that he could be. 2. It was damaged to the extent that it was unusable. 3. I agree with you to the extent that we need change.

صرف نظر از ... | Regardless of ...
-- Pronunciation: /rɪˈɡɑrdləs əv/
-- Tone: Neutral
-- Example: 1. Regardless of the cost, we need to fix it. 2. Everyone is welcome, regardless of age. 3. Regardless of what you say, I'm going.

با توجه به ... | In light of ...
-- Pronunciation: /ɪn laɪt əv/
-- Tone: Formal
-- Example: 1. In light of the new evidence, we are reopening the case. 2. In light of recent events, security has been increased. 3. We must reconsider our plans in light of the budget cuts.

به جای ... | In lieu of ...
-- Pronunciation: /ɪn luː əv/
-- Tone: Formal
-- Example: 1. They gave a donation in lieu of flowers. 2. He accepted a check in lieu of cash. 3. Time off in lieu of overtime pay.

روی لبه تیغ | On the razor's edge
-- Pronunciation: /ɑn ðə ˈreɪzərz ɛdʒ/
-- Tone: Idiom
-- Example: 1. The company is teetering on the razor's edge of bankruptcy. 2. Living on the razor's edge. 3. The match was balanced on a razor's edge.

بین دو راهی | At a crossroads
-- Pronunciation: /æt ə ˈkrɔsˌroʊdz/
-- Tone: Idiom
-- Example: 1. I am at a crossroads in my career. 2. The country stands at a crossroads. 3. We have reached a crossroads and must decide.

گیر کردن در برزخ (بلاتکلیفی) | In limbo
-- Pronunciation: /ɪn ˈlɪmboʊ/
-- Tone: Idiom
-- Example: 1. The project has been in limbo for months. 2. My application is stuck in limbo. 3. Leaving the refugees in legal limbo.

تیر در تاریکی (حدس) | Shot in the dark
-- Pronunciation: /ʃɑt ɪn ðə dɑrk/
-- Tone: Idiom
-- Example: 1. It was just a shot in the dark, but I guessed right. 2. Taking a shot in the dark with this answer. 3. Without data, it's just a shot in the dark.

آرامش قبل از طوفان | Calm before the storm
-- Pronunciation: /kɑm bɪˈfɔr ðə stɔrm/
-- Tone: Idiom
-- Example: 1. The silence was the calm before the storm. 2. Enjoy this quiet; it's the calm before the storm. 3. The markets are in a calm before the storm.

شروع تازه | Clean slate
-- Pronunciation: /kliːn sleɪt/
-- Tone: Idiom
-- Example: 1. Moving to a new city gave me a clean slate. 2. Start with a clean slate. 3. Wipe the slate clean.

سنگ جلوی پای کسی انداختن | Throw a wrench in the works
-- Pronunciation: /θroʊ ə rɛntʃ/
-- Tone: Idiom
-- Example: 1. The bad weather threw a wrench in our plans. 2. Don't throw a wrench in the negotiations. 3. He threw a wrench in the works by quitting.

آب پاکی روی دست ریختن | Set the record straight
-- Pronunciation: /sɛt ðə ˈrɛkərd streɪt/
-- Tone: Idiom
-- Example: 1. Let me set the record straight; I never said that. 2. It's time to set the record straight about what happened. 3. I want to set the record straight.

دست به سیاه و سفید نزدن | Lift a finger
-- Pronunciation: /lɪft ə ˈfɪŋɡər/
-- Tone: Idiom
-- Example: 1. He didn't lift a finger to help us. 2. She expects to be served without lifting a finger. 3. Will you lift a finger to save him?

بی گدار به آب زدن | Jump the gun
-- Pronunciation: /dʒʌmp ðə ɡʌn/
-- Tone: Idiom
-- Example: 1. Don't jump the gun; wait for the official announcement. 2. I think we jumped the gun on launching this product. 3. Sorry, I jumped the gun.

سماجت کردن | Stick to one's guns
-- Pronunciation: /stɪk tu wʌnz ɡʌnz/
-- Tone: Idiom
-- Example: 1. Despite the pressure, she stuck to her guns. 2. You have to stick to your guns if you believe you are right. 3. He stuck to his guns and refused to sign.

کفگیر به ته دیگ خوردن | Scrape the bottom of the barrel
-- Pronunciation: /skreɪp ðə ˈbɑtəm əv ðə ˈbærəl/
-- Tone: Idiom
-- Example: 1. We are really scraping the bottom of the barrel for ideas now. 2. Hiring him was scraping the bottom of the barrel. 3. That's scraping the bottom of the barrel.

از کوره در رفتن | Fly off the handle
-- Pronunciation: /flaɪ ɔf ðə ˈhændəl/
-- Tone: Idiom
-- Example: 1. He flies off the handle at the slightest provocation. 2. Don't fly off the handle; let me explain. 3. She flew off the handle when she saw the mess.

به دل گرفتن | Take to heart
-- Pronunciation: /teɪk tu hɑrt/
-- Tone: Idiom
-- Example: 1. Don't take his criticism to heart. 2. She took the advice to heart and improved. 3. He takes everything to heart.

از سر باز کردن | Get it over with
-- Pronunciation: /ɡɛt ɪt ˈoʊvər wɪð/
-- Tone: Neutral
-- Example: 1. I want to take the test and get it over with. 2. Let's just do it and get it over with. 3. I can't wait to get this meeting over with.

پا تو کفش کسی کردن | Step on someone's toes
-- Pronunciation: /stɛp ɑn ˈtoʊz/
-- Tone: Idiom
-- Example: 1. I don't want to step on your toes, but I have a suggestion. 2. Be careful not to step on anyone's toes in the new job. 3. He's always stepping on my toes.

دل و جیگر داشتن (شجاعت) | Have the guts
-- Pronunciation: /hæv ðə ɡʌts/
-- Tone: Informal
-- Example: 1. He didn't have the guts to tell her the truth. 2. Do you have the guts to jump? 3. She has the guts to stand up to the bully.

رگ خواب کسی را داشتن | Know what makes someone tick
-- Pronunciation: /noʊ wʌt meɪks ˈsʌmwʌn tɪk/
-- Tone: Idiom
-- Example: 1. I'm trying to figure out what makes him tick. 2. A good salesman knows what makes his customers tick. 3. Understanding what makes people tick is psychology.

زیر آب زدن | Badmouth / Backstab
-- Pronunciation: /ˈbædˌmaʊθ/
-- Tone: Negative
-- Example: 1. Stop badmouthing your colleagues behind their backs. 2. He badmouthed the company after he left. 3. Backstabbing friends are the worst.

شاخ و شانه کشیدن | Flex one's muscles
-- Pronunciation: /flɛks wʌnz ˈmʌsəlz/
-- Tone: Idiom
-- Example: 1. The country is flexing its military muscles. 2. He's just flexing his muscles to show who's boss. 3. No need to flex your muscles here.

صورت مسئله را پاک کردن | Sweep under the rug
-- Pronunciation: /swiːp ˈʌndər ðə rʌɡ/
-- Tone: Idiom
-- Example: 1. You can't just sweep your problems under the rug. 2. The scandal was swept under the rug. 3. Don't sweep it under the rug; face it.

قسر در رفتن (از قانون) | Beat the rap
-- Pronunciation: /biːt ðə ræp/
-- Tone: Slang
-- Example: 1. He hired a good lawyer and beat the rap. 2. You might beat the rap, but you can't beat the ride. 3. Surprisingly, he beat the rap.

گلیم خود را از آب بیرون کشیدن | Fend for oneself
-- Pronunciation: /fɛnd fɔr wʌnˈsɛlf/
-- Tone: Neutral
-- Example: 1. The children had to fend for themselves while their parents were away. 2. You have to learn to fend for yourself. 3. Fending for oneself in the wild.

مچ کسی را گرفتن | Catch red-handed
-- Pronunciation: /kætʃ rɛd ˈhændɪd/
-- Tone: Idiom
-- Example: 1. He was caught red-handed stealing the money. 2. I caught you red-handed! 3. Caught red-handed with the cookie jar.

نخود هر آش | Have a finger in every pie
-- Pronunciation: /hæv ə ˈfɪŋɡər ɪn ˈɛvri paɪ/
-- Tone: Idiom
-- Example: 1. She loves to govern; she has a finger in every pie. 2. He has a finger in every pie in this town. 3. Stop having a finger in every pie.

هلو بپر تو گلو | Handed on a silver platter
-- Pronunciation: /ˈsɪlvər ˈplætər/
-- Tone: Idiom
-- Example: 1. Success won't be handed to you on a silver platter. 2. He wants everything handed to him on a silver platter. 3. The job was handed to her on a silver platter.

یک تیر و دو نشان | Kill two birds with one stone
-- Pronunciation: /kɪl tuː bɜrdz wɪð wʌn stoʊn/
-- Tone: Idiom
-- Example: 1. I can drop off the mail and pick up lunch; kill two birds with one stone. 2. Killing two birds with one stone is efficient. 3. We killed two birds with one stone by combining the meetings.

یک دستی (بلوف) | Bluff
-- Pronunciation: /blʌf/
-- Tone: Neutral
-- Example: 1. Is he telling the truth or just bluffing? 2. I called his bluff. 3. A master of the bluff.

آبروریزی | Scandal / Disgrace
-- Pronunciation: /ˈskændəl/
-- Tone: Negative
-- Example: 1. The political scandal shocked the nation. 2. It was a disgrace to the family. 3. Avoid a public scandal.

اتفاقی (شانسی) | Coincidence
-- Pronunciation: /koʊˈɪnsɪdəns/
-- Tone: Neutral
-- Example: 1. What a coincidence! I was just thinking about you. 2. It was no coincidence that they met. 3. A happy coincidence.

اجتناب ناپذیر | Unavoidable
-- Pronunciation: /ˌʌnəˈvɔɪdəbəl/
-- Tone: Neutral
-- Example: 1. Delays are unavoidable due to the weather. 2. An unavoidable accident. 3. Conflict is sometimes unavoidable.

احتمال (شانس) | Probability / Odds
-- Pronunciation: /ˌprɑbəˈbɪlɪti/
-- Tone: Neutral
-- Example: 1. The odds of winning are slim. 2. What is the probability of rain? 3. Against all odds.

اختلال (وقفه) | Disruption
-- Pronunciation: /dɪsˈrʌpʃən/
-- Tone: Negative
-- Example: 1. A disruption in the supply chain. 2. Sorry for the disruption. 3. Major disruption to train services.

استثنا | Exception
-- Pronunciation: /ɪkˈsɛpʃən/
-- Tone: Neutral
-- Example: 1. Everyone must go, with no exceptions. 2. The exception proves the rule. 3. I will make an exception for you.

اشتباه لپی | Slip of the tongue
-- Pronunciation: /slɪp əv ðə tʌŋ/
-- Tone: Idiom
-- Example: 1. It was just a slip of the tongue; I didn't mean it. 2. A Freudian slip of the tongue. 3. Be careful with a slip of the tongue.


چه خبرا؟ (مشغول چه کاری هستی) | What have you been up to?
-- Tone: Spoken
-- Example: 1. I haven't seen you in ages. What have you been up to?

داستان چیه؟ (قضیه چیه) | What's the story?
-- Tone: Spoken
-- Example: 1. You look worried. What's the story?

یه چیزی بگو که نمی‌دونم | Tell me something I don't know
-- Tone: Spoken
-- Example: 1. "Traffic is terrible today." "Tell me something I don't know."

برو سر اصل مطلب | Cut to the chase
-- Tone: Spoken
-- Example: 1. We don't have much time, so let's cut to the chase.

رک و پوست کنده بگو | Give it to me straight
-- Tone: Spoken
-- Example: 1. Don't sugarcoat it, doc. Give it to me straight.

من پایم (هستم) | I'm down / I'm game
-- Tone: Spoken
-- Example: 1. "Want to go for a pizza?" "I'm down." 2. "Who's up for a hiking trip?" "I'm game."

روی من حساب کن | Count me in
-- Tone: Spoken
-- Example: 1. If you guys are going to the movies, count me in.

من نیستم (منو حساب نکن) | Count me out
-- Tone: Spoken
-- Example: 1. If there's going to be trouble, count me out.

دست نزن (صبر کن) | Hold your horses
-- Tone: Spoken
-- Example: 1. Hold your horses! We haven't even decided where to go yet.

سخت نگیر | Take it easy
-- Tone: Spoken
-- Example: 1. You're working too hard. Just take it easy.

ریلکس باش (آرام باش) | Chill out
-- Tone: Spoken
-- Example: 1. Stop yelling and just chill out for a second.

بی‌خیال (ولش کن) | Never mind
-- Tone: Spoken
-- Example: 1. "What did you say?" "Never mind, it wasn't important."

حق با توئه | You got a point
-- Tone: Spoken
-- Example: 1. I didn't think of it that way. You got a point.

دمت گرم (کارت درسته) | Way to go
-- Tone: Spoken
-- Example: 1. You got the job? Way to go!

گل کاشتی | You nailed it
-- Tone: Spoken
-- Example: 1. Your presentation was amazing. You nailed it!

خدا کنه (بزن به تخته) | Knock on wood
-- Tone: Spoken
-- Example: 1. Hopefully we won't have any traffic, knock on wood.

شانس آوردی | You got lucky
-- Tone: Spoken
-- Example: 1. The teacher didn't check the homework. You got lucky.

دیوونم کردی | You're driving me crazy
-- Tone: Spoken
-- Example: 1. Stop tapping your pen! You're driving me crazy.

اعصابم رو خورد میکنه | It gets on my nerves
-- Tone: Spoken
-- Example: 1. People who chew with their mouth open really get on my nerves.

بزن به چاک (گمشو) | Beat it
-- Tone: Spoken
-- Example: 1. This is private property. Beat it!

از جلو چشمم دور شو | Get out of my face
-- Tone: Spoken
-- Example: 1. I'm warning you, get out of my face.

حواست جمع باشه | Watch your back
-- Tone: Spoken
-- Example: 1. These streets are dangerous at night. Watch your back.

حواست به دهنت باشه (مودب باش) | Watch your mouth / Watch your language
-- Tone: Spoken
-- Example: 1. Don't speak to your mother like that. Watch your mouth.

دخالت نکن | Stay out of it
-- Tone: Spoken
-- Example: 1. This is between me and him. Stay out of it.

خودتو نخود آش نکن | Don't stick your nose where it doesn't belong
-- Tone: Spoken
-- Example: 1. Just do your job and don't stick your nose where it doesn't belong.

ولم کن (دست از سرم بردار) | Get off my back
-- Tone: Spoken
-- Example: 1. Stop nagging me about the dishes! Get off my back!

گوشم با توئه | I'm all ears
-- Tone: Spoken
-- Example: 1. You have a new idea? I'm all ears.

چی تو فکرته؟ | What's on your mind?
-- Tone: Spoken
-- Example: 1. You've been quiet all evening. What's on your mind?

حرف تو دهنم نذار | Don't put words in my mouth
-- Tone: Spoken
-- Example: 1. I never said I hated it. Don't put words in my mouth.

منظورم این نبود | That's not what I meant
-- Tone: Spoken
-- Example: 1. You misunderstood me. That's not what I meant.

نشنیده بگیر | Forget I asked
-- Tone: Spoken
-- Example: 1. "Why do you want to know?" "Never mind, forget I asked."

از ذهنم پرید | It slipped my mind
-- Tone: Spoken
-- Example: 1. I was supposed to call you, but it completely slipped my mind.

نوک زبونمه | It's on the tip of my tongue
-- Tone: Spoken
-- Example: 1. What's that actor's name? It's on the tip of my tongue.

زدی تو خال | You hit the nail on the head
-- Tone: Spoken
-- Example: 1. I think you hit the nail on the head with that description.

حرف دلم رو زدی | You took the words right out of my mouth
-- Tone: Spoken
-- Example: 1. "This pizza is delicious." "You took the words right out of my mouth."

رک بگو (تعارف نکن) | Don't hold back
-- Tone: Spoken
-- Example: 1. Tell me what you really think. Don't hold back.

رو دلم مونده بود (باید میگفتم) | I had to get it off my chest
-- Tone: Spoken
-- Example: 1. Thanks for listening. I just had to get it off my chest.

هوای منو داشته باش | Have my back
-- Tone: Spoken
-- Example: 1. If things go wrong, will you have my back?

من هواتو دارم | I got your back
-- Tone: Spoken
-- Example: 1. Don't worry, buddy. I got your back.

تنهام نذار | Don't leave me hanging
-- Tone: Spoken
-- Example: 1. Come on, give me a high five! Don't leave me hanging.

پایه هستم | I'm in
-- Tone: Spoken
-- Example: 1. "We're going to the beach." "Sweet, I'm in."

مسخره بازی در نیار | Don't be ridiculous
-- Tone: Spoken
-- Example: 1. Don't be ridiculous. Of course I'll help you.

خودتو لوس نکن | Don't be a baby
-- Tone: Spoken
-- Example: 1. It's just a little scratch. Don't be a baby.

بزرگ شو (بچگی نکن) | Grow up
-- Tone: Spoken
-- Example: 1. You're 30 years old, acting like a teenager. Grow up!

مودب باش | Behave yourself
-- Tone: Spoken
-- Example: 1. We are going to grandma's house. Behave yourself.

داد نزن | Don't raise your voice at me
-- Tone: Spoken
-- Example: 1. I am your father! Don't raise your voice at me.

آروم بگیر (بشین سر جات) | Settle down
-- Tone: Spoken
-- Example: 1. Okay class, settle down and open your books.

همینه که هست | It is what it is
-- Tone: Spoken
-- Example: 1. We lost the game, but hey, it is what it is.

دنیا به آخر نرسیده | It's not the end of the world
-- Tone: Spoken
-- Example: 1. You failed one test. It's not the end of the world.

زندگیم رو نجات دادی | You're a lifesaver
-- Tone: Spoken
-- Example: 1. Thanks for bringing me coffee. You're a lifesaver.

بدهکارتم (جبران میکنم) | I owe you one
-- Tone: Spoken
-- Example: 1. Thanks for helping me move. I owe you one.

جبران میکنم | I'll make it up to you
-- Tone: Spoken
-- Example: 1. Sorry I missed your birthday. I'll make it up to you.

حساب بی حساب | Even steven / We're even
-- Tone: Spoken
-- Example: 1. You bought lunch, I bought dinner. We're even.

مهمون من | It's on me
-- Tone: Spoken
-- Example: 1. Put your wallet away. Dinner is on me.

دنگی دونگی حساب کنیم | Let's split the bill / Go Dutch
-- Tone: Spoken
-- Example: 1. We don't have to treat each other. Let's just go Dutch.

بذار فکرامو بکنم | Let me sleep on it
-- Tone: Spoken
-- Example: 1. I can't decide right now. Let me sleep on it.

بهت خبر میدم | I'll get back to you
-- Tone: Spoken
-- Example: 1. Let me check my schedule and I'll get back to you.

در تماس باش | Keep in touch
-- Tone: Spoken
-- Example: 1. It was great seeing you. Keep in touch!

خوش بگذره | Have a blast
-- Tone: Spoken
-- Example: 1. You're going to Hawaii? Have a blast!

مراقب خودت باش | Take care
-- Tone: Spoken
-- Example: 1. See you later. Take care.

چاکرم (ارادت) | At your service
-- Tone: Spoken
-- Example: 1. Whatever you need, I am at your service.

اختیار دارید (خواهش میکنم) | Be my guest
-- Tone: Spoken
-- Example: 1. "Can I use your phone?" "Be my guest."

بفرما (بعد از شما) | After you
-- Tone: Spoken
-- Example: 1. (Holding the door open) "After you."

از شماست (لطف شماست) | You're too kind
-- Tone: Spoken
-- Example: 1. "You look beautiful today." "Oh stop, you're too kind."

خجالتم نده | You're making me blush
-- Tone: Spoken
-- Example: 1. All these compliments are making me blush.

همین دور و برا باش | Stick around
-- Tone: Spoken
-- Example: 1. Don't leave yet. Stick around for the party.


حالم جا اومد | That hit the spot
-- Tone: Spoken
-- Example: 1. (Drinking cold water on a hot day) Ah, that hit the spot.

گرسنه ام (خیلی) | I'm starving
-- Tone: Spoken
-- Example: 1. When is dinner ready? I'm starving.

ترکیدم (از پرخوری) | I'm stuffed
-- Tone: Spoken
-- Example: 1. I can't eat another bite. I'm stuffed.

هوس (...) کردم | I'm craving ...
-- Tone: Spoken
-- Example: 1. I'm really craving pizza right now.

عاشقشم (دیوونشم) | I'm crazy about it
-- Tone: Spoken
-- Example: 1. Have you tried sushi? I'm crazy about it.

حالم ازش بهم میخوره | It makes me sick
-- Tone: Spoken
-- Example: 1. The way he treats people makes me sick.

حوصله شو ندارم | I'm not in the mood
-- Tone: Spoken
-- Example: 1. Do you want to go dancing? "Nah, I'm not in the mood."

اعصابم خورده | I'm pissed off
-- Tone: Spoken / Vulgar
-- Example: 1. Keep away from him; he's pissed off about losing the game.

قاطی کردم (عصبی شدم) | I lost it
-- Tone: Spoken
-- Example: 1. When he insulted my mom, I just lost it.

داغونم (خسته/نابود) | I'm wrecked / I'm beat
-- Tone: Spoken
-- Example: 1. Double shift today. I'm absolutely wrecked. 2. I'm beat; I'm going to bed.

کلافه شدم | I'm fed up
-- Tone: Spoken
-- Example: 1. I'm fed up with this traffic every single day.

به سیم آخر زدم | I'm at the end of my rope
-- Tone: Spoken
-- Example: 1. The baby hasn't stopped crying for hours. I'm at the end of my rope.

کم آوردم (تحملم تموم شد) | I can't take it anymore
-- Tone: Spoken
-- Example: 1. Stop screaming! I can't take it anymore!

تسلیم شدم | I give up
-- Tone: Spoken
-- Example: 1. Okay, you win. I give up.

بی‌خیالش شدم | I'm over it
-- Tone: Spoken
-- Example: 1. I used to be sad about the breakup, but now I'm over it.

دلم براش تنگ شده | I miss him/her terribly
-- Tone: Spoken
-- Example: 1. It's been a month since she left. I miss her terribly.

دلم گرفت (غمگین شدم) | It bummed me out
-- Tone: Spoken
-- Example: 1. Hearing about his accident really bummed me out.

اشکم در اومد | It moved me to tears
-- Tone: Spoken
-- Example: 1. That movie was so beautiful, it moved me to tears.

مو به تنم سیخ شد | It gave me goosebumps
-- Tone: Spoken
-- Example: 1. Her singing was so good it gave me goosebumps.

زهره ترک شدم | It scared the hell out of me
-- Tone: Spoken
-- Example: 1. Don't sneak up on me like that! It scared the hell out of me.

شوکه شدم | I was floored
-- Tone: Spoken
-- Example: 1. When I heard the news, I was absolutely floored.

جا خوردم | I was taken aback
-- Tone: Spoken
-- Example: 1. I was taken aback by his sudden rudeness.

دهنم باز موند | My jaw dropped
-- Tone: Spoken
-- Example: 1. When she walked in wearing that dress, my jaw dropped.

گیج شدم | I'm lost / I'm confused
-- Tone: Spoken
-- Example: 1. Wait, explain that again. I'm lost.

مخم سوت کشید | It blew my mind
-- Tone: Spoken
-- Example: 1. The special effects in that movie blew my mind.

سر در نمیارم | I don't get it
-- Tone: Spoken
-- Example: 1. Why is everyone laughing? I don't get it.

حالیم نمیشه (درک نمیکنم) | It beats me
-- Tone: Spoken
-- Example: 1. "How did he escape?" "It beats me."

برام روشن شد (فهمیدم) | It dawned on me
-- Tone: Spoken
-- Example: 1. Suddenly it dawned on me that I had left the oven on.

دوزاریم افتاد | The penny dropped
-- Tone: Spoken
-- Example: 1. He explained it three times before the penny finally dropped.

تو باغ نیستی (نمیفهمی) | You're out to lunch
-- Tone: Spoken
-- Example: 1. If you think I'm going to agree to that, you're out to lunch.

عقلت رو از دست دادی؟ | Have you lost your marbles?
-- Tone: Spoken
-- Example: 1. Quit your job with no backup plan? Have you lost your marbles?

خل و چل | Nuts / Bonkers
-- Tone: Spoken
-- Example: 1. This idea is nuts! 2. That guy is totally bonkers.

عجب گیری افتادیم | What a mess
-- Tone: Spoken
-- Example: 1. I locked my keys in the car. What a mess.

بدبخت شدیم | We're screwed
-- Tone: Spoken / Slang
-- Example: 1. If the boss finds out, we're screwed.

کارمون تمومه | We're done for
-- Tone: Spoken
-- Example: 1. The cops are here! We're done for!

بیچاره شدم | I'm doomed
-- Tone: Spoken
-- Example: 1. I forgot to study for the final. I'm doomed.

خاک تو سرم | My bad
-- Tone: Spoken
-- Example: 1. "You stepped on my foot!" "Oops, my bad."

شرمندتم | My apologies
-- Tone: Spoken
-- Example: 1. My apologies, I didn't mean to offend you.

منظور بدی نداشتم | No offense meant
-- Tone: Spoken
-- Example: 1. You look tired. No offense meant, just concerned.

به دل نگیر | Don't take it personal
-- Tone: Spoken
-- Example: 1. He's grumpy with everyone today. Don't take it personal.

حقته (لایقشی) | You deserve it
-- Tone: Spoken
-- Example: 1. You worked hard for this promotion. You deserve it.

چشمات قشنگ میبینه | Beauty is in the eye of the beholder
-- Tone: Spoken
-- Example: 1. "He's not very handsome." "Well, beauty is in the eye of the beholder."

بهت میاد (لباس) | It suits you
-- Tone: Spoken
-- Example: 1. That color really suits you.

خیلی بهت میاد | It looks great on you
-- Tone: Spoken
-- Example: 1. That new haircut looks great on you.

خوش تیپ شدی | You look sharp
-- Tone: Spoken
-- Example: 1. Suit and tie? You look sharp today!

کولاک کردی | You rocked it
-- Tone: Spoken
-- Example: 1. I heard about your performance. You rocked it!

دست مریزاد | Hats off to you
-- Tone: Spoken
-- Example: 1. You solved the puzzle in record time. Hats off to you.

ناامیدم نکن | Don't let me down
-- Tone: Spoken
-- Example: 1. I'm trusting you with this. Don't let me down.

روم رو زمین ننداز | Do me a solid
-- Tone: Spoken / Slang
-- Example: 1. Hey man, can you do me a solid and give me a ride?

هوای منو داشته باش | Stick up for me
-- Tone: Spoken
-- Example: 1. Thanks for sticking up for me when they were making fun of me.

پشتم بهت گرمه | I'm counting on you
